date,week,year,month,day,volume,close,vwap,trade_count
2020-05-11,20,2020,May,Monday,16830103,811.29,808.002131,310652
2020-05-12,20,2020,May,Tuesday,16059088,809.41,828.738864,309851
2020-05-13,20,2020,May,Wednesday,19203178,790.96,793.85374,382714
2020-05-14,20,2020,May,Thursday,13825229,803.33,784.648159,293003
2020-05-15,20,2020,May,Friday,10604704,799.17,797.78713,196201
2020-05-18,21,2020,May,Monday,11973333,813.63,816.908672,240673
2020-05-19,21,2020,May,Tuesday,9707521,808.0,814.452222,189328
2020-05-20,21,2020,May,Wednesday,7411524,815.56,817.484976,155018
2020-05-21,21,2020,May,Thursday,12390012,827.6,815.045733,240571
2020-05-22,21,2020,May,Friday,10082722,816.88,822.118444,191342
2020-05-26,22,2020,May,Tuesday,8282701,818.87,822.484968,171504
2020-05-27,22,2020,May,Wednesday,11652634,820.23,808.089211,263662
2020-05-28,22,2020,May,Thursday,7385782,805.81,814.713296,156556
2020-05-29,22,2020,May,Friday,12428372,835.0,821.108967,220087
2020-06-01,23,2020,June,Monday,15248814,898.1,879.643603,350786
2020-06-02,23,2020,June,Tuesday,13716652,881.56,889.536096,287107
2020-06-03,23,2020,June,Wednesday,8085130,882.96,888.075076,171317
2020-06-04,23,2020,June,Thursday,8992002,864.38,879.025225,199339
2020-06-05,23,2020,June,Friday,7947684,885.66,877.703768,169144
2020-06-08,24,2020,June,Monday,14403284,949.92,929.875983,311690
2020-06-09,24,2020,June,Tuesday,11526075,940.67,942.116824,245349
2020-06-10,24,2020,June,Wednesday,18767876,1025.05,1005.933755,442842
2020-06-11,24,2020,June,Thursday,16189783,972.84,991.138004,392145
2020-06-12,24,2020,June,Friday,16933974,935.28,946.399428,418476
2020-06-15,25,2020,June,Monday,15956201,990.9,960.638397,345608
2020-06-16,25,2020,June,Tuesday,14195839,982.13,987.763319,301760
2020-06-17,25,2020,June,Wednesday,10000411,991.79,993.695942,195011
2020-06-18,25,2020,June,Thursday,9883023,1003.96,1004.308598,206861
2020-06-19,25,2020,June,Friday,9056452,1000.9,1002.296637,186535
2020-06-22,26,2020,June,Monday,6495891,994.32,998.249002,140257
2020-06-23,26,2020,June,Tuesday,6512381,1001.78,1003.084312,137746
2020-06-24,26,2020,June,Wednesday,11066511,960.85,970.2835,277346
2020-06-25,26,2020,June,Thursday,9440670,985.98,964.747693,209004
2020-06-26,26,2020,June,Friday,9325377,959.74,969.60698,183390
2020-06-29,27,2020,June,Monday,9128458,1009.35,985.627131,227701
